Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,3.8808267028469428,3.0049466368972597,1.6464055694209154,-0.0964516260290657,0.7192711837307987,0.4810810810810811
ARIMA,38.54455723916262,37.417479986407535,20.422248096807703,-37.417479986407535,-26.69265640549975,0.518918918918919
Existing RF,53.02124596768579,52.36006727936448,28.580855658104376,-52.36006727936448,-51.40085256046258,0.5081081081081081
Extended RF,58.01968434241778,57.48381679945095,31.436881726696186,-57.48381679945095,-61.746458408568,0.4918918918918919
