Model,RMSE,MAE,R2,MAPE
Benchmark,2019.617475811534,1540.782122905028,0.9301704321122374,2.837316731940569
ARIMA,26332.309184471163,24992.205093108492,-10.870773161738388,45.06541524814601
Existing RF,28130.557785896646,27077.17597765363,-12.54745764424562,49.135562020304945
Extended RF,28602.024168860906,27601.124301675976,-13.005372143789826,50.15414808445787
