Model,RMSE,MAE,R2,MAPE
Benchmark,42725.13896993198,30926.136363636364,0.9557202462820241,2.793906340888954
ARIMA,708732.103648385,683460.3161163367,-11.184352077469006,61.96455364463691
Existing RF,738302.1798895916,709916.2926136364,-12.22228549215451,64.23480139748537
Extended RF,740675.8412050144,712739.4208531604,-12.307442168119433,64.52467001048005
