Model,RMSE,MAE,R2,MAPE
Benchmark,33619.66869118474,22430.167597765365,0.9831755691172052,3.352471363663617
ARIMA,484547.8483271139,409396.64804469276,-2.49483649721596,59.708163128032545
Existing RF,461370.73078285856,381012.5586592179,-2.168499207221246,53.75975136094505
Extended RF,456705.83750893467,378255.8268156425,-2.10475009529972,53.790481450960534
