Date,Open,High,Low,Close,Volume,simple_return,log_return,ma_7,ma_14,ma_21,volatility_7,hl_diff,oc_diff,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_lower,BB_width,BB_percent,MA_3,MA_5,MA_10,MA_20,Close_MA5_ratio,Close_MA20_ratio,MA5_MA20_gap,daily_return,abs_return,high_low_ratio,open_close_ratio,pct_volatility_5,pct_volatility_10,Volume_MA5,Volume_MA20,Volume_change,Volume_ratio,log_trading_value,ATR_14,OBV,Stoch_K,Stoch_D,lag_1_return,lag_2_return,lag_3_return,MA3_return,target_next_close
2021-04-14,187.5,187.5,172.5,172.5,7069,,,,,,,15.0,15.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.08695652173913043,-0.08,,,,,,,14.013872362715798,15.0,,,,,,,,175.0
2021-04-15,173.75,185.0,170.0,175.0,5201,0.01449275362318847,0.01438873745209967,,,,,15.0,-1.25,100.0,0.19943019943019635,0.039886039886039275,0.15954415954415707,,,,,,,,,,,,0.01449275362318847,0.01449275362318847,0.08571428571428572,0.007194244604316547,,,,,-0.2642523695006366,,13.721393266385796,15.0,5201.0,,,,,,,173.75
2021-04-16,175.0,182.5,170.0,173.75,2954,-0.0071428571428571175,-0.007168489478612516,,,,,12.5,1.25,96.29629629629629,0.25369112263695115,0.08264705643622165,0.17104406620072948,,,,,173.75,,,,,,,-0.0071428571428571175,0.0071428571428571175,0.07194244604316546,-0.007142857142857143,,,,,-0.43203230148048455,,13.1485348958741,14.821428571428571,2247.0,,,0.01449275362318847,,,,178.75
2021-04-19,175.0,184.25,168.75,178.75,3585,0.02877697841726623,0.028370697129215566,,,,,15.5,-3.75,96.80589680589681,0.6921725738942541,0.20455215992782816,0.48762041396642597,,,,,175.83333333333334,,,,,,,0.02877697841726623,0.02877697841726623,0.08671328671328671,0.02142857142857143,,,,,0.2136086662153014,,13.370503495110272,14.869897959183675,5832.0,,,-0.0071428571428571175,0.01449275362318847,,0.012042291632532528,156.25
2021-04-20,176.25,186.5,150.0,156.25,5877,-0.12587412587412583,-0.13453089295760612,,,,,36.5,20.0,58.079147295611754,-0.7670476289542023,0.010232202151422065,-0.7772798311056244,,,,,169.58333333333334,171.25,,,0.9124087591240876,,,-0.12587412587412583,0.12587412587412583,0.2336,-0.11347517730496454,,,4937.2,,0.6393305439330543,,13.73026008421955,16.41490524781341,-45.0,,,0.02877697841726623,-0.0071428571428571175,0.01449275362318847,-0.03474666819990557,177.5
2021-04-21,143.75,186.375,135.0,177.5,12471,0.1359999999999999,0.1275133202989595,,,,,51.375,-33.75,70.20304411172076,-0.20641334196704975,-0.0330969066722723,-0.17331643529477744,,,,,170.83333333333334,172.25,,,1.0304789550072568,,,0.1359999999999999,0.1359999999999999,0.28943661971830986,0.23478260869565218,0.09354358210040803,,6017.6,,1.1220010209290456,,14.610132288588407,18.9120548729696,12426.0,,,-0.12587412587412583,0.02877697841726623,-0.0071428571428571175,0.0129676175143801,166.875
2021-04-22,178.75,186.125,163.75,166.875,3113,-0.059859154929577496,-0.061725579760956543,171.51785714285714,,,,22.375,11.875,60.74356753464493,-0.6123960135074071,-0.14895672803929927,-0.46343928546810786,,,,,166.875,170.625,,,0.978021978021978,,,-0.059859154929577496,0.059859154929577496,0.13408239700374533,-0.06643356643356643,0.09829119535238003,,5600.0,,-0.7503808836500682,,13.160589124589245,19.159408096328914,9313.0,,,0.1359999999999999,-0.12587412587412583,0.02877697841726623,-0.016577760267901143,182.5
2021-04-23,166.25,183.75,166.25,182.5,3230,0.09363295880149813,0.08950514386803222,172.94642857142858,,,0.08830730497535509,17.5,-16.25,67.64747699528677,0.3229440132174659,-0.054576579787946236,0.37752059300541213,,,,,175.625,172.375,,,1.0587382160986223,,,0.09363295880149813,0.09363295880149813,0.0958904109589041,0.09774436090225563,0.10777555401930752,,5655.2,,0.03758432380340504,,13.286989285662594,19.040878946591135,12543.0,,,-0.059859154929577496,0.1359999999999999,-0.12587412587412583,0.056591267957306846,202.5
2021-04-26,183.75,218.75,182.5,202.5,7108,0.1095890410958904,0.10398971352404762,176.875,,,0.09557401106520018,36.25,-18.75,73.96019791594415,2.647521595258695,0.485843055221382,2.161678540037313,,,,,183.95833333333334,177.125,,,1.1432604093154553,,,0.1095890410958904,0.1095890410958904,0.17901234567901234,0.10204081632653061,0.1161771766719847,,6359.8,,1.2006191950464395,,14.179716770569291,20.270101878977485,19651.0,,,0.09363295880149813,-0.059859154929577496,0.1359999999999999,0.047787614989270345,205.0
2021-04-27,203.125,216.375,200.0,205.0,4996,0.012345679012345734,0.012270092591814401,181.33928571428572,,,0.09490427378234913,16.375,-1.875,74.6266679608641,4.638030850758128,1.3162806143287313,3.3217502364293963,,,,,196.66666666666666,186.875,179.0625,,1.0969899665551839,,,0.012345679012345734,0.012345679012345734,0.0798780487804878,0.009230769230769232,0.08060652971202532,,6183.6,,-0.29712999437253795,,13.83940382677427,19.99188031619338,24647.0,,,0.1095890410958904,0.09363295880149813,-0.059859154929577496,0.07185589296991142,226.375
