Date,Open,High,Low,Close,Volume,simple_return,log_return,ma_7,ma_14,ma_21,volatility_7,hl_diff,oc_diff,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_lower,BB_width,BB_percent,MA_3,MA_5,MA_10,MA_20,Close_MA5_ratio,Close_MA20_ratio,MA5_MA20_gap,daily_return,abs_return,high_low_ratio,open_close_ratio,volatility_5,volatility_10,Volume_MA5,Volume_MA20,Volume_change,Volume_ratio,Trading_value,target_next_close
2021-04-15,7650.0,7650.0,7500.0,7590.0,18066,,,,,,,150.0,60.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.019762845849802372,-0.00784313725490196,,,,,,,137120940.0,7500.0
2021-04-16,7550.0,7590.0,7450.0,7500.0,54024,-0.011857707509881465,-0.011928570865273845,,,,,140.0,50.0,0.0,-7.179487179487296,-1.4358974358974592,-5.743589743589837,,,,,,,,,,,,-0.011857707509881465,0.011857707509881465,0.018666666666666668,-0.006622516556291391,,,,,1.9903686482896048,,405180000.0,7500.0
2021-04-19,7530.0,7530.0,7400.0,7500.0,22299,0.0,0.0,,,,,130.0,30.0,0.0,-12.722624004675708,-3.693242749653109,-9.0293812550226,,,,,7530.0,,,,,,,0.0,0.0,0.017333333333333333,-0.00398406374501992,,,,,-0.5872390048867171,,167242500.0,7530.0
2021-04-20,7500.0,7540.0,7440.0,7530.0,14427,0.0040000000000000036,0.003992021269537457,,,,,100.0,-30.0,2.687140115163146,-14.5273879103961,-5.860071781801707,-8.667316128594393,,,,,7510.0,,,,,,,0.0040000000000000036,0.0040000000000000036,0.013280212483399735,0.004,,,,,-0.35302031481232343,,108635310.0,7580.0
2021-04-21,7540.0,7580.0,7480.0,7580.0,32133,0.006640106241699861,0.006618157842478074,,,,,100.0,-40.0,7.164655617634622,-11.787218458634015,-7.04550111716817,-4.741717341465845,,,,,7536.666666666667,7540.0,,,1.0053050397877985,,,0.006640106241699861,0.006640106241699861,0.013192612137203167,0.005305039787798408,,,28189.8,,1.2272821792472448,,243568140.0,7620.0
2021-04-22,7590.0,7660.0,7550.0,7620.0,21562,0.005277044854881341,0.005263170044274691,,,,,110.0,-30.0,10.704397578014536,-6.315151583793522,-6.8994312104932405,0.5842796266997183,,,,,7576.666666666667,7546.0,,,1.0098065200106017,,,0.005277044854881341,0.005277044854881341,0.014435695538057743,0.003952569169960474,0.007504125935854736,,28889.0,,-0.3289764416643326,,164302440.0,7650.0
2021-04-23,7560.0,7650.0,7490.0,7650.0,42295,0.003937007874015741,0.003929278139889557,7567.142857142857,,,,160.0,-90.0,13.372246606387037,0.43721023078251164,-5.432102922238091,5.869313153020602,,,,,7616.666666666667,7576.0,,,1.009767687434002,,,0.003937007874015741,0.003937007874015741,0.02091503267973856,0.011904761904761904,0.002479955574985468,,26543.2,,0.9615527316575456,,323556750.0,8090.0
2021-04-26,7650.0,9200.0,7630.0,8090.0,778390,0.05751633986928106,0.05592308323195587,7638.571428571428,,,0.021568183294827657,1570.0,-440.0,41.145508737432664,40.82225484071205,3.8187686303519364,37.00348621036011,,,,,7786.666666666667,7694.0,,,1.051468676891084,,,0.05751633986928106,0.05751633986928106,0.19406674907292953,0.05751633986928104,0.023528327491100436,,177761.4,,17.403830239981087,,6297175100.0,8600.0
2021-04-27,8140.0,9100.0,8090.0,8600.0,500166,0.06304079110012362,0.06113347218906173,7795.714285714285,,,0.02674506975260595,1010.0,-460.0,57.96694240823011,112.68150910956592,25.591316726194734,87.09019238337119,,,,,8113.333333333333,7908.0,,,1.0875063227111785,,,0.06304079110012362,0.06304079110012362,0.11744186046511627,0.056511056511056514,0.0301997555212397,,274909.2,,-0.35743521884916296,,4301427600.0,8200.0
2021-04-28,8510.0,8630.0,8200.0,8200.0,111190,-0.046511627906976716,-0.04762804898925459,7895.714285714285,,,0.03673904299772307,430.0,310.0,46.6943829074312,135.78854297707767,47.630761976371325,88.15778100070634,,,,,8296.666666666666,8032.0,7786.0,,1.0209163346613546,,,-0.046511627906976716,0.046511627906976716,0.0524390243902439,-0.036427732079905996,0.045006995934887356,,290720.6,,-0.777693805656522,,911758000.0,8220.0
2021-04-29,8210.0,8540.0,8170.0,8220.0,122265,0.0024390243902439046,0.002436054797881121,7994.285714285715,,,0.03680549032329667,370.0,-10.0,47.2467729767225,153.94033825245515,68.8926772315881,85.04766102086705,,,,,8340.0,8152.0,7849.0,,1.008341511285574,,,0.0024390243902439046,0.0024390243902439046,0.045012165450121655,0.001218026796589525,0.0452037786782285,0.031590946236217686,310861.2,,0.09960428096051799,,1005018300.0,8150.0
2021-04-30,8220.0,8430.0,8140.0,8150.0,60422,-0.008515815085158196,-0.008552281815317253,8075.714285714285,,,0.03764826023926981,290.0,70.0,45.47071397876339,160.8234788442478,87.27883755412003,73.54464129012777,,,,,8190.0,8252.0,7914.0,,0.9876393601551139,,,-0.008515815085158196,0.008515815085158196,0.03558282208588957,-0.00851581508515815,0.04636841866886982,0.03136916876821795,314486.6,,-0.5058111479164111,,492439300.0,8200.0
2021-05-03,8150.0,8370.0,8120.0,8200.0,39758,0.006134969325153339,0.006116227017436054,8158.571428571428,,,0.0376303970483863,250.0,-50.0,47.00318288881961,168.37211060312438,103.4974921639209,64.87461843920349,,,,,8190.0,8274.0,7984.0,,0.9910563210055596,,,0.006134969325153339,0.006134969325153339,0.03048780487804878,0.006134969325153374,0.03936543752613038,0.03123804425927131,166760.2,,-0.3419946377147397,,326015600.0,8420.0
2021-05-04,8200.0,8460.0,8180.0,8420.0,81705,0.02682926829268295,0.026475673984027955,8268.57142857143,7917.857142857143,,0.03793991872631625,280.0,-220.0,53.231271513679644,189.9173678432344,120.7814672997836,69.13590054345079,,,,,8256.666666666666,8238.0,8073.0,,1.0220927409565428,,,0.02682926829268295,0.02682926829268295,0.0332541567695962,0.026829268292682926,0.027028805314794326,0.03163161748033482,83068.0,,1.0550581015141605,,687956100.0,8600.0
2021-05-06,8580.0,8700.0,8460.0,8600.0,67566,0.0213776722090262,0.02115237500522676,8341.42857142857,7990.0,,0.033507960921529134,240.0,-20.0,57.61964968685521,218.99222901034955,140.4236196418968,78.56860936845274,,,,,8406.666666666666,8318.0,8175.0,,1.033902380379899,,,0.0213776722090262,0.0213776722090262,0.027906976744186046,0.002331002331002331,0.01437894255842974,0.03171399226495928,74343.2,,-0.17304938498255917,,581067600.0,8570.0
2021-05-07,8580.0,8620.0,8490.0,8570.0,49952,-0.0034883720930232176,-0.003494470649773589,8337.142857142857,8066.428571428572,,0.024302833518108868,130.0,10.0,56.66531821004904,236.88287831210255,159.71547137593797,77.16740693616458,,,,,8530.0,8388.0,8270.0,,1.0216976633285646,,,-0.0034883720930232176,0.0034883720930232176,0.015169194865810968,-0.0011655011655011655,0.015334957201004577,0.03207492574754891,59880.6,,-0.2606932480833556,,428088640.0,8490.0
2021-05-10,8680.0,8690.0,8410.0,8490.0,91388,-0.009334889148191361,-0.009378732286432469,8378.57142857143,8137.142857142857,,0.014097773462137675,280.0,190.0,54.09244342903839,241.81848242815158,176.1360735863807,65.6824088417709,,,,,8553.333333333334,8456.0,8354.0,,1.0040208136234627,,,-0.009334889148191361,0.009334889148191361,0.03297997644287397,-0.021889400921658985,0.01556439537864068,0.0327262775844724,66073.8,,0.829516335682255,,775884120.0,8240.0
2021-05-11,8480.0,8480.0,8190.0,8240.0,102449,-0.029446407538280317,-0.029888656401875605,8381.42857142857,8187.857142857143,,0.019371775489130265,290.0,240.0,46.92247941917713,222.98662260536275,185.5061833901771,37.48043921518564,,,,,8433.333333333334,8464.0,8369.0,,0.9735349716446124,,,-0.029446407538280317,0.029446407538280317,0.03519417475728155,-0.02830188679245283,0.023109327550123286,0.030452252544098952,78612.0,,0.1210333960695058,,844179760.0,8280.0
