Date,Open,High,Low,Close,Volume,simple_return,log_return,ma_7,ma_14,ma_21,volatility_7,hl_diff,oc_diff,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_lower,BB_width,BB_percent,MA_3,MA_5,MA_10,MA_20,Close_MA5_ratio,Close_MA20_ratio,MA5_MA20_gap,daily_return,abs_return,high_low_ratio,open_close_ratio,pct_volatility_5,pct_volatility_10,Volume_MA5,Volume_MA20,Volume_change,Volume_ratio,log_trading_value,ATR_14,OBV,Stoch_K,Stoch_D,lag_1_return,lag_2_return,lag_3_return,MA3_return,target_next_return,target_next_close
2021-04-15,15700.0,15750.0,15350.0,15500.0,570482,,,,,,,400.0,200.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.025806451612903226,-0.012738853503184714,,,,,,,22.902832199536128,400.0,,,,,,,,-0.00967741935483871,15350.0
2021-04-16,15550.0,15650.0,15350.0,15350.0,507454,-0.009677419354838679,-0.009724549891994744,,,,,300.0,200.0,0.0,-11.965811965810644,-2.393162393162129,-9.572649572648515,,,,,,,,,,,,-0.009677419354838679,0.009677419354838679,0.019543973941368076,-0.012861736334405145,,,,,-0.11048201345528874,,22.776032098539623,392.8571428571429,-507454.0,,,,,,,0.019543973941368076,15650.0
2021-04-19,15450.0,16200.0,15200.0,15650.0,5086464,0.019543973941368087,0.019355442952956072,,,,,1000.0,-200.0,13.333333333333329,2.7272505905002618,-1.3690797964296508,4.096330386929912,,,,,15500.0,,,,,,,0.019543973941368087,0.019543973941368087,0.06389776357827476,0.012944983818770227,,,,,9.02349769634292,,25.100319647613514,436.22448979591843,4579010.0,,,-0.009677419354838679,,,,-0.019169329073482427,15350.0
2021-04-20,15650.0,15750.0,15050.0,15350.0,1194938,-0.019169329073482455,-0.01935544295295609,,,,,700.0,300.0,11.6591928251121,-9.723794421968705,-3.040022721537462,-6.683771700431244,,,,,15450.0,,,,,,,-0.019169329073482455,0.019169329073482455,0.04560260586319218,-0.019169329073482427,,,,,-0.765074912552217,,23.63247561222646,455.06559766763854,3384072.0,,,0.019543973941368087,-0.009677419354838679,,-0.003100924828984349,-0.016286644951140065,15100.0
2021-04-21,15250.0,15500.0,15100.0,15100.0,742480,-0.016286644951140072,-0.01642073021232752,,,,,400.0,150.0,10.478454066342877,-39.31109413918057,-10.294237005066083,-29.016857134114485,,,,,15366.666666666666,15390.0,,,0.9811565951916829,,,-0.016286644951140072,0.016286644951140072,0.026490066225165563,-0.009836065573770493,,,1620363.6,,-0.3786455866329467,,23.140201236161484,451.13234069137866,2641592.0,,,-0.019169329073482455,0.019543973941368087,-0.009677419354838679,-0.0053040000277514805,0.0,15100.0
2021-04-22,15300.0,15400.0,15050.0,15100.0,646119,0.0,0.0,,,,,350.0,200.0,10.478454066342877,-62.04403728925536,-20.644197061903938,-41.39984022735142,,,,,15183.333333333334,15310.0,,,0.9862834748530372,,,0.0,0.0,0.023178807947019868,-0.013071895424836602,0.01563148798296651,,1635491.0,,-0.12978262040728372,,23.001188999231893,443.9086020705659,2641592.0,,,-0.016286644951140072,-0.019169329073482455,0.019543973941368087,-0.011818658008207509,-0.019867549668874173,14800.0
2021-04-23,15050.0,15100.0,14700.0,14800.0,906851,-0.019867549668874163,-0.020067563050809256,15264.285714285714,,,,400.0,250.0,9.184049168528588,-103.07931711009223,-37.1312210715416,-65.94809603855063,,,,,15000.0,15200.0,,,0.9736842105263158,,,-0.019867549668874163,0.019867549668874163,0.02702702702702703,-0.016611295681063124,0.016980644805667744,,1715370.4,,0.40353557162070763,,23.320115897589876,440.7722733512398,1734741.0,,,0.0,-0.016286644951140072,-0.019169329073482455,-0.012051398206671412,-0.010135135135135136,14650.0
2021-04-26,14900.0,14900.0,14650.0,14650.0,576168,-0.010135135135135087,-0.010186845306993018,15142.857142857143,,,0.01393756711361204,250.0,250.0,8.611260585453834,-146.0205840112012,-58.90909365947353,-87.11149035172768,,,,,14850.0,15000.0,,,0.9766666666666667,,,-0.010135135135135087,0.010135135135135087,0.017064846416382253,-0.016778523489932886,0.00826424938841915,,813311.2,,-0.36464976054500686,,22.856350178381927,427.1456823975798,1158573.0,,,-0.019867549668874163,0.0,-0.016286644951140072,-0.01000089493466975,0.0,14650.0
2021-04-27,14700.0,14950.0,14600.0,14650.0,465964,0.0,0.0,15042.857142857143,,,0.014225338593192728,350.0,50.0,8.611260585453834,-177.99997450054798,-82.72726982768842,-95.27270467285956,,,,,14700.0,14860.0,,,0.9858681022880216,,,0.0,0.0,0.023890784982935155,-0.003401360544217687,0.009139951968978523,,667516.4,,-0.19127060163008014,,22.64405927149642,421.6352765120384,1158573.0,,,-0.010135135135135087,-0.019867549668874163,0.0,-0.01000089493466975,-0.040955631399317405,14050.0
2021-04-28,14600.0,14600.0,13900.0,14050.0,933894,-0.04095563139931746,-0.0418179396833216,14814.285714285714,,,0.014363598357125603,700.0,550.0,6.678878323105238,-248.88981064461768,-115.95977799107428,-132.9300326535434,,,,,14450.0,14650.0,15020.0,,0.9590443686006825,,,-0.04095563139931746,0.04095563139931746,0.0498220640569395,-0.03767123287671233,0.017086454501205994,,705799.2,,1.0042192100677307,,23.29749589524454,445.08989961832134,224679.0,,,0.0,-0.010135135135135087,-0.019867549668874163,-0.017030255511484182,-0.014234875444839857,13850.0
2021-04-29,14100.0,14450.0,13550.0,13850.0,607178,-0.014234875444839812,-0.014337163146407218,14600.0,,,0.014258528552655227,900.0,250.0,6.180973194636223,-317.54834539402145,-156.27749147166372,-161.27085392235773,,,,,14183.333333333334,14400.0,14855.0,,0.9618055555555556,,,-0.014234875444839812,0.014234875444839812,0.06498194945848375,-0.01773049645390071,0.015213973311229773,0.015841207053030274,698011.0,,-0.3498427016342326,,22.852617784257507,477.58347821701267,-382499.0,,,-0.04095563139931746,0.0,-0.010135135135135087,-0.018396835614719092,-0.02527075812274368,13500.0
2021-04-30,13900.0,14150.0,13400.0,13500.0,660311,-0.02527075812274371,-0.025595547188963768,14371.42857142857,,,0.014853413719583994,750.0,400.0,5.419545503078183,-395.64208805644193,-204.15041078861938,-191.49167726782255,,,,,13800.0,14140.0,14670.0,,0.9547383309759547,,,-0.02527075812274371,0.02527075812274371,0.05555555555555555,-0.02877697841726619,0.015650767235689186,0.016443992353022314,648703.0,,0.08750811129520497,,22.910911179676955,497.04180120151176,-1042810.0,,,-0.014234875444839812,-0.04095563139931746,0.0,-0.02682042165563366,0.0,13500.0
2021-05-03,13500.0,13850.0,13100.0,13500.0,518734,0.0,0.0,14142.857142857143,,,0.014853413719583994,750.0,0.0,5.419545503078183,-452.31790252920473,-253.78390913673647,-198.53399339246826,,,,,13616.666666666666,13910.0,14455.0,,0.9705248023005032,,,0.0,0.0,0.05555555555555555,0.0,0.017491452243383835,0.012993599694722602,637216.2,,-0.21440957367058855,,22.6695914712472,515.1102439728323,-1042810.0,,,-0.02527075812274371,-0.014234875444839812,-0.04095563139931746,-0.01316854452252784,-0.011111111111111112,13350.0
2021-05-04,13300.0,13450.0,12800.0,13350.0,763728,-0.011111111111111072,-0.011173300598125189,13935.714285714286,14600.0,,0.014827941405253554,650.0,-50.0,5.106852812484405,-503.533222671349,-303.733771843659,-199.79945082769,,,,,13450.0,13650.0,14255.0,,0.978021978021978,,,-0.011111111111111072,0.011111111111111072,0.04868913857677903,0.0037593984962406013,0.015531930146909945,0.012927892896811016,696769.0,,0.4722921574448562,,23.045238647742224,528.31665511763,-1806538.0,16.176470588235293,,0.0,-0.02527075812274371,-0.014234875444839812,-0.01212728974461826,0.0599250936329588,14150.0
2021-05-06,13350.0,15050.0,13150.0,14150.0,4090732,0.059925093632958726,0.058198239242988024,13864.285714285714,14503.57142857143,,0.03148818878589999,1900.0,-800.0,28.726212162362245,-474.10325158418163,-337.80766779176355,-136.29558379241809,,,,,13666.666666666666,13670.0,14160.0,,1.0351133869787856,,,0.059925093632958726,0.059925093632958726,0.13427561837455831,0.0599250936329588,0.03368377747529134,0.02656323466593753,1328136.6,,4.356268200196928,,24.781704388199003,626.2940368949422,2284194.0,39.705882352941174,,-0.011111111111111072,0.0,-0.02527075812274371,0.01627132750728255,-0.0176678445229682,13900.0
2021-05-07,14150.0,14300.0,13800.0,13900.0,583490,-0.017667844522968212,-0.017825783952600573,13757.142857142857,14400.0,,0.03173993232609744,500.0,250.0,26.50591657912534,-465.58571581407523,-363.3632773962259,-102.22243841784933,,,,,13800.0,13680.0,14040.0,,1.0160818713450293,,,-0.017667844522968212,0.017667844522968212,0.03597122302158273,-0.0176678445229682,0.034125992899440086,0.026694864202475528,1323399.0,,-0.8573629365111183,,22.816426711843388,617.2730342595892,1700704.0,32.35294117647059,29.411764705882348,0.059925093632958726,-0.011111111111111072,0.0,0.01038204599962648,0.0035971223021582736,13950.0
2021-05-10,14100.0,14300.0,13900.0,13950.0,574588,0.003597122302158251,0.00359066813072854,13742.857142857143,14278.57142857143,,0.02797596218084008,400.0,150.0,27.70936954789049,-449.6180086914683,-380.6142236552744,-69.0037850361939,,,,,14000.0,13770.0,13955.0,,1.0130718954248366,,,0.003597122302158251,0.003597122302158251,0.02867383512544803,-0.010638297872340425,0.03081455349634997,0.02656007014711355,1306254.4,,-0.015256473975560847,,22.804643328590238,601.7535318124757,2275292.0,38.983050847457626,37.01395812562313,-0.017667844522968212,0.059925093632958726,-0.011111111111111072,0.015284790470716255,-0.03225806451612903,13500.0
2021-05-11,13850.0,14000.0,13500.0,13500.0,419967,-0.032258064516129004,-0.03278982282299084,13692.857142857143,14146.42857142857,,0.03021931886010545,500.0,350.0,23.913984209481768,-467.8812807898066,-398.06763508218086,-69.81364570762577,,,,,13783.333333333334,13770.0,13840.0,,0.9803921568627451,,,-0.032258064516129004,0.032258064516129004,0.037037037037037035,-0.02527075812274368,0.035633246914558825,0.027870191731093324,1286501.0,,-0.2690989021699026,,22.458376380346984,594.4854223972989,1855325.0,25.925925925925927,32.42063931661804,0.003597122302158251,-0.017667844522968212,0.059925093632958726,-0.015442928912312989,0.003703703703703704,13550.0
