Date,Open,High,Low,Close,Volume,simple_return,log_return,ma_7,ma_14,ma_21,volatility_7,hl_diff,oc_diff,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_lower,BB_width,BB_percent,MA_3,MA_5,MA_10,MA_20,Close_MA5_ratio,Close_MA20_ratio,MA5_MA20_gap,daily_return,abs_return,high_low_ratio,open_close_ratio,volatility_5,volatility_10,Volume_MA5,Volume_MA20,Volume_change,Volume_ratio,Trading_value,target_next_close
2021-04-15,136000.0,139000.0,136000.0,137500.0,2291160,,,,,,,3000.0,-1500.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.02181818181818182,0.011029411764705883,,,,,,,315034500000.0,137500.0
2021-04-16,138500.0,139000.0,137500.0,137500.0,1982877,0.0,0.0,,,,,1500.0,1000.0,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.01090909090909091,-0.007220216606498195,,,,,-0.1345532394071125,,272645587500.0,138000.0
2021-04-19,138000.0,139000.0,137000.0,138000.0,1906782,0.0036363636363636598,0.003629768050578731,,,,,2000.0,0.0,100.0,39.88603988601244,7.977207977202489,31.90883190880995,,,,,137666.66666666666,,,,,,,0.0036363636363636598,0.0036363636363636598,0.014492753623188406,0.0,,,,,-0.03837605660865495,,263135916000.0,138500.0
2021-04-20,136500.0,138500.0,136500.0,138500.0,2167732,0.0036231884057971175,0.003616640470188515,,,,,2000.0,-2000.0,100.0,110.56728435642435,28.495223253046863,82.0720611033775,,,,,138000.0,,,,,,,0.0036231884057971175,0.0036231884057971175,0.01444043321299639,0.014652014652014652,,,,,0.1368536099040163,,300230882000.0,132500.0
2021-04-21,138000.0,138000.0,132000.0,132500.0,5120577,-0.04332129963898912,-0.04428768020111624,,,,,6000.0,5500.0,12.98557158712542,-313.94817692009383,-39.99345678158127,-273.9547201385126,,,,,136333.33333333334,136800.0,,,0.9685672514619883,,,-0.04332129963898912,0.04332129963898912,0.045283018867924525,-0.03985507246376811,,,2693825.6,,1.3621817641664191,,678476452500.0,133000.0
2021-04-22,134500.0,135500.0,133000.0,133000.0,3007457,0.0037735849056603765,0.0037664827954768648,,,,,2500.0,1500.0,19.288335137132748,-603.0819636532979,-152.6111581559246,-450.47080549737325,,,,,134666.66666666666,135900.0,,,0.9786607799852833,,,0.0037735849056603765,0.0037735849056603765,0.018796992481203006,-0.011152416356877323,0.020668941011677464,,2837085.0,,-0.412672243772528,,399991781000.0,132500.0
2021-04-23,130500.0,132500.0,128500.0,132500.0,4854412,-0.003759398496240629,-0.0037664827954768934,135642.85714285713,,,,4000.0,-2000.0,17.892615300577333,-862.6245946989511,-294.61384546452996,-568.0107492344212,,,,,132666.66666666666,134900.0,,,0.9822090437361009,,,-0.003759398496240629,0.003759398496240629,0.03018867924528302,0.01532567049808429,0.020442439456389617,,3411392.0,,0.6141251562366479,,643209590000.0,131500.0
2021-04-26,132500.0,132500.0,130500.0,131500.0,2904879,-0.007547169811320753,-0.007575793808457656,134785.7142857143,,,0.017267677609421002,2000.0,1000.0,15.479994880462442,-1135.911560963228,-462.8733885642696,-673.0381723989585,,,,,132333.33333333334,133600.0,,,0.9842814371257484,,,-0.007547169811320753,0.007547169811320753,0.015209125475285171,-0.007547169811320755,0.019551470717083116,,3611011.4,,-0.401600235002715,,381991588500.0,135000.0
2021-04-27,133000.0,136000.0,132500.0,135000.0,3394650,0.026615969581748944,0.026267926820610105,134428.57142857142,,,0.021273319126761774,3500.0,-2000.0,43.961129030268886,-1057.8781406749622,-581.8743389864081,-476.00380168855406,,,,,133000.0,132900.0,,,1.0158013544018059,,,0.026615969581748944,0.026615969581748944,0.025925925925925925,0.015037593984962405,0.02526350363455959,,3856395.0,,0.1686028918932596,,458277750000.0,130000.0
2021-04-28,134500.0,135000.0,130000.0,130000.0,5596760,-0.03703703703703709,-0.037740327982847086,133285.7142857143,,,0.024715368439244993,5000.0,4500.0,28.951829591927662,-1383.545653091016,-742.2086018073298,-641.3370512836862,,,,,132166.66666666666,132400.0,134600.0,,0.9818731117824774,,,-0.03703703703703709,0.03703703703703709,0.038461538461538464,-0.03345724907063197,0.02291841591972278,,3951631.6,,0.6487001605467426,,727578800000.0,130000.0
