date,N1,N2,N3,N4,N5
2023-02-28,0,4,0,27,9
2023-03-01,1,0,0,26,10
2023-03-02,0,13,0,25,13
2023-03-03,0,0,0,26,9
2023-03-06,2,9,0,24,12
2023-03-07,4,9,0,23,6
2023-03-08,1,16,0,23,5
2023-03-09,0,12,0,23,10
2023-03-10,1,7,1,24,10
2023-03-13,13,0,0,30,12
2023-03-14,6,13,0,30,9
2023-03-15,0,0,0,25,5
2023-03-16,7,19,0,20,11
2023-03-17,0,0,0,24,7
2023-03-20,3,5,0,28,7
2023-03-21,0,2,0,19,9
2023-03-22,1,0,0,20,10
2023-03-23,2,3,0,28,7
2023-03-24,1,7,0,23,4
2023-03-27,4,7,0,21,5
2023-03-28,1,0,0,19,7
2023-03-29,1,3,1,23,8
2023-03-30,1,5,0,15,3
2023-03-31,0,5,0,20,11
2023-04-03,0,16,0,22,6
2023-04-04,4,2,0,21,4
2023-04-05,2,3,0,22,7
2023-04-06,1,8,0,24,7
2023-04-07,0,0,0,21,9
2023-04-10,3,5,0,20,3
2023-04-11,0,8,0,24,10
2023-04-12,2,3,0,25,7
2023-04-13,1,3,0,25,6
2023-04-14,0,1,1,20,4
2023-04-17,5,9,0,22,3
2023-04-18,5,10,1,21,1
2023-04-19,7,4,0,21,7
2023-04-20,4,8,0,23,4
2023-04-21,4,2,0,25,7
2023-04-24,1,3,0,20,5
2023-04-25,1,2,7,11,10
2023-04-26,2,6,1,15,12
2023-04-27,3,2,0,19,8
2023-04-28,5,3,1,24,10
2023-05-01,1,2,0,20,10
2023-05-02,1,7,0,22,13
2023-05-03,8,1,1,25,5
2023-05-04,3,2,0,27,5
2023-05-05,1,0,0,20,0
2023-05-08,5,4,0,18,7
2023-05-09,1,11,0,20,0
2023-05-10,1,5,0,26,8
2023-05-11,1,3,1,27,12
2023-05-12,2,11,8,18,7
2023-05-15,0,15,5,23,11
2023-05-16,3,10,0,28,7
2023-05-17,0,2,0,23,4
2023-05-18,0,1,0,23,0
2023-05-19,0,4,1,30,2
2023-05-22,0,2,0,23,9
2023-05-23,7,0,0,22,11
2023-05-24,8,7,0,24,2
2023-05-25,2,7,0,24,7
2023-05-26,3,5,0,20,2
2023-05-29,2,0,1,22,4
2023-05-30,6,7,0,25,10
2023-05-31,1,5,0,26,8
2023-06-01,2,1,0,26,11
2023-06-02,4,0,0,26,6
2023-06-05,2,14,0,23,10
2023-06-06,6,0,0,22,3
2023-06-07,7,4,0,22,4
2023-06-08,1,4,0,30,2
2023-06-09,3,2,0,23,2
2023-06-12,4,0,0,30,8
2023-06-13,1,5,0,27,13
2023-06-14,4,2,0,30,13
2023-06-15,14,6,0,29,9
2023-06-16,7,0,0,24,1
2023-06-19,4,12,0,22,1
2023-06-20,1,1,0,23,8
2023-06-21,2,4,0,27,6
2023-06-22,1,4,0,29,6
2023-06-23,0,8,0,30,1
2023-06-26,1,9,0,19,14
2023-06-27,0,6,0,19,5
2023-06-28,0,5,0,20,10
2023-06-29,3,9,0,23,12
2023-06-30,0,11,0,21,9
2023-07-03,2,5,0,14,7
2023-07-04,0,2,0,19,10
2023-07-05,7,0,0,17,10
2023-07-06,10,1,0,22,7
2023-07-07,5,1,0,19,2
2023-07-10,0,2,0,21,4
2023-07-11,4,1,0,20,9
2023-07-12,2,3,0,20,6
2023-07-13,4,1,0,24,8
2023-07-14,0,0,0,20,3
2023-07-17,0,3,0,22,3
2023-07-18,5,0,0,11,8
2023-07-19,7,6,0,14,6
2023-07-20,2,9,0,15,2
2023-07-21,2,10,0,15,6
2023-07-24,0,3,0,22,10
2023-07-25,0,2,0,16,4
2023-07-26,0,2,0,23,3
2023-07-27,0,2,0,23,7
2023-07-28,1,11,0,21,5
2023-07-31,0,0,1,18,3
2023-08-01,2,11,0,22,10
2023-08-02,2,10,0,21,7
2023-08-03,0,2,0,15,3
2023-08-04,6,7,0,16,2
2023-08-07,6,0,0,19,3
2023-08-08,2,5,0,22,2
2023-08-09,2,3,0,21,4
2023-08-10,1,0,0,18,5
2023-08-11,16,5,0,22,5
2023-08-14,11,9,0,16,2
2023-08-15,1,6,0,27,1
2023-08-16,4,11,0,26,5
2023-08-17,1,15,0,23,5
2023-08-18,2,1,0,20,4
2023-08-21,3,5,0,20,5
2023-08-22,3,0,0,20,1
2023-08-23,3,4,0,22,8
2023-08-24,1,3,0,26,8
2023-08-25,0,11,0,29,0
2023-08-28,0,0,0,20,14
2023-08-29,0,0,0,21,12
2023-08-30,2,4,0,20,4
2023-08-31,0,0,0,20,9
2023-09-01,0,6,0,20,13
2023-09-04,0,7,0,22,7
2023-09-05,3,9,0,19,4
2023-09-06,0,10,0,19,1
2023-09-07,0,12,0,24,7
2023-09-08,1,11,0,18,4
2023-09-11,0,7,0,20,8
2023-09-12,2,9,0,22,1
2023-09-13,0,6,0,14,3
2023-09-14,0,0,0,22,6
2023-09-15,0,13,0,21,5
2023-09-18,9,2,0,21,4
2023-09-19,6,1,0,19,4
2023-09-20,12,5,0,21,4
2023-09-21,5,9,0,28,10
2023-09-22,6,4,0,30,8
2023-09-25,6,2,0,19,6
2023-09-26,1,12,0,17,1
2023-09-27,0,10,0,24,4
2023-09-28,0,3,0,17,4
2023-09-29,0,0,0,17,1
2023-10-02,2,0,0,6,10
2023-10-03,0,7,0,20,11
2023-10-04,1,19,0,27,15
2023-10-05,2,6,0,23,6
2023-10-06,0,9,0,19,4
2023-10-09,21,3,3,12,4
