date,K_NSI_Short,K_NSI_Long
2026-02-16,112.66197704553869,198.26014913007458
2026-02-17,92.14385474860336,198.07516040329972
2026-02-18,111.56484808885986,198.31865492393916
2026-02-19,105.13408205363282,198.89879391714737
2026-02-20,93.90123456790123,198.7045033929673
2026-02-23,120.58749686166206,198.87278582930756
2026-02-24,108.63196442584359,198.7492555092317
2026-02-25,114.85932805244468,198.6784140969163
2026-02-26,113.0401819560273,198.76106194690266
2026-02-27,108.27429149797572,198.75813128326433
2026-03-02,111.17677286742034,198.81019830028328
2026-03-03,95.89456496384418,198.80273660205245
2026-03-04,90.23577652485903,198.65211810012838
2026-03-05,99.4952178533475,198.63989637305698
2026-03-06,119.61908284023667,199.15356711003628
2026-03-09,103.08195190287181,198.84931506849315
2026-03-10,129.23424348183124,199.10903691132796
2026-03-11,130.09944751381215,199.05020352781548
2026-03-12,113.79760609357997,198.9995235826584
2026-03-13,103.11265969802555,198.8562091503268
2026-03-16,114.43466172381835,198.91022314478465
2026-03-17,118.23192239858906,199.01176470588234
2026-03-18,108.76454567962368,198.83333333333331
2026-03-19,106.23690947172446,198.87760555852486
2026-03-20,101.7924023542001,198.70928088506452
2026-03-23,118.67137497241228,198.98501691638472
2026-03-24,115.6032033066391,198.82747068676719
2026-03-25,118.15541031227305,198.91640866873064
2026-03-26,117.39409499358152,199.0497737556561
2026-03-27,110.78229541945446,198.8182329769274
2026-03-30,113.77260981912144,198.83008356545963
2026-03-31,108.85512182342154,198.76470588235293
2026-04-01,115.9374236128086,198.86363636363637
2026-04-02,107.01881331403763,198.79862700228833
2026-04-03,102.3841059602649,198.72881355932202
2026-04-06,109.0932777488275,198.8155668358714
2026-04-07,108.72641509433963,198.78892733564015
2026-04-08,122.5998675789009,199.04240766073872
2026-04-09,114.31060228969636,198.866090712743
2026-04-10,117.13598074608905,198.92197125256672
2026-04-13,114.13234005258545,198.9995235826584
2026-04-14,119.8975859546452,198.90738813735692
2026-04-15,100.91767881241566,198.68255959849435
