Date,Open,High,Low,Close,Volume
2021-04-14,32400.0,32500.0,31950.0,32200.0,377173
2021-04-15,32200.0,32600.0,31950.0,32250.0,321330
2021-04-16,32550.0,32600.0,32100.0,32450.0,353463
2021-04-19,32600.0,34200.0,32400.0,33750.0,1440506
2021-04-20,33800.0,33950.0,33100.0,33800.0,580973
2021-04-21,33500.0,33700.0,32650.0,32850.0,709505
2021-04-22,33200.0,33500.0,32850.0,32950.0,413295
2021-04-23,32650.0,33200.0,32250.0,32950.0,353570
2021-04-26,33200.0,33350.0,32800.0,33200.0,394691
2021-04-27,33450.0,33600.0,32350.0,32500.0,549080
2021-04-28,32500.0,32500.0,30600.0,30750.0,1211051
2021-04-29,30850.0,31200.0,29950.0,30150.0,743039
2021-04-30,30250.0,30900.0,30000.0,30850.0,437090
2021-05-03,30300.0,31150.0,30100.0,30250.0,503807
2021-05-04,30150.0,30450.0,29500.0,30400.0,503837
2021-05-06,30150.0,30750.0,29900.0,30350.0,284594
2021-05-07,30500.0,30850.0,30350.0,30800.0,321013
2021-05-10,30850.0,31700.0,30800.0,31500.0,494328
2021-05-11,30800.0,31050.0,30000.0,30250.0,624950
2021-05-12,30300.0,30450.0,29700.0,29850.0,414078
2021-05-13,29050.0,29400.0,28350.0,28350.0,834889
2021-05-14,29050.0,29650.0,28650.0,29250.0,497889
2021-05-17,29600.0,29700.0,28400.0,28750.0,410092
2021-05-18,28600.0,29300.0,28600.0,29300.0,228739
2021-05-20,29000.0,29500.0,28800.0,29400.0,278279
2021-05-21,29700.0,29750.0,29150.0,29200.0,267470
2021-05-24,29200.0,29250.0,28200.0,28350.0,436050
2021-05-25,28600.0,28700.0,28200.0,28500.0,360119
2021-05-26,28550.0,29150.0,28350.0,28350.0,390102
2021-05-27,28550.0,28850.0,28000.0,28800.0,377184
2021-05-28,28900.0,29100.0,28500.0,28850.0,261236
2021-05-31,29000.0,29100.0,28350.0,28600.0,288366
2021-06-01,28700.0,29000.0,28400.0,28650.0,314759
2021-06-02,28700.0,28850.0,28300.0,28400.0,321863
2021-06-03,28600.0,29500.0,28500.0,29150.0,752026
2021-06-04,29050.0,29050.0,28550.0,28700.0,322246
2021-06-07,29050.0,29850.0,28900.0,29550.0,618772
2021-06-08,29850.0,29900.0,28750.0,28900.0,682439
2021-06-09,29000.0,29050.0,28450.0,28450.0,363174
