Date,Open,High,Low,Close,Volume
2021-04-14,56500.0,57000.0,55300.0,56400.0,618696
2021-04-15,56300.0,56900.0,55600.0,56300.0,415087
2021-04-16,56800.0,56800.0,55300.0,55900.0,546076
2021-04-19,56300.0,58400.0,55900.0,57200.0,1126100
2021-04-20,56600.0,56700.0,55000.0,56100.0,962481
2021-04-21,55600.0,56300.0,55300.0,56300.0,379161
2021-04-22,56600.0,57100.0,56000.0,56400.0,418697
2021-04-23,55700.0,56800.0,55400.0,56500.0,307960
2021-04-26,56800.0,56800.0,55600.0,55900.0,402776
2021-04-27,56300.0,56400.0,53300.0,53600.0,968947
2021-04-28,53800.0,53900.0,51600.0,52100.0,729104
2021-04-29,52100.0,52500.0,49850.0,50400.0,966748
2021-04-30,50800.0,51100.0,49400.0,50800.0,542679
2021-05-03,50300.0,51300.0,49500.0,49550.0,582219
2021-05-04,49300.0,50200.0,48500.0,49750.0,498361
2021-05-06,50100.0,50900.0,49450.0,50800.0,470131
2021-05-07,51200.0,51500.0,50300.0,50500.0,345793
2021-05-10,50800.0,52400.0,50700.0,52200.0,488078
2021-05-11,51100.0,51300.0,49800.0,49950.0,746068
2021-05-12,50100.0,50700.0,49150.0,50300.0,418872
2021-05-13,48800.0,49800.0,47900.0,47900.0,664318
2021-05-14,48900.0,51000.0,48800.0,51000.0,959398
2021-05-17,51900.0,52000.0,49900.0,50400.0,405799
2021-05-18,50400.0,51100.0,49750.0,51100.0,305842
2021-05-20,51200.0,51900.0,50300.0,51200.0,366878
2021-05-21,52000.0,52400.0,51100.0,51800.0,588685
2021-05-24,52100.0,52100.0,49800.0,49950.0,401659
2021-05-25,50400.0,50600.0,49800.0,50100.0,302246
2021-05-26,50100.0,50400.0,49050.0,49100.0,421288
2021-05-27,49300.0,50500.0,48500.0,50200.0,428326
2021-05-28,50300.0,50700.0,49900.0,50300.0,214156
2021-05-31,50400.0,50500.0,49600.0,50400.0,229292
2021-06-01,50400.0,50600.0,49900.0,50400.0,203088
2021-06-02,50500.0,50700.0,49900.0,50400.0,285962
2021-06-03,50600.0,52000.0,50200.0,51900.0,863937
2021-06-04,51500.0,51500.0,50300.0,50600.0,439156
2021-06-07,51400.0,51500.0,50100.0,50400.0,450042
2021-06-08,50400.0,50600.0,49800.0,49800.0,324750
2021-06-09,49850.0,49850.0,48500.0,48550.0,644375
2021-06-10,48650.0,49200.0,48250.0,48700.0,381568
2021-06-11,49150.0,49300.0,48800.0,49150.0,204099
2021-06-14,49200.0,49400.0,48750.0,49150.0,152986
2021-06-15,49400.0,49450.0,48800.0,48850.0,206733
2021-06-16,48850.0,49500.0,48850.0,48950.0,180952
2021-06-17,49000.0,50000.0,48600.0,49500.0,291376
2021-06-18,49900.0,50000.0,49500.0,49500.0,237955
2021-06-21,49050.0,49050.0,48450.0,48500.0,302919
2021-06-22,48900.0,48950.0,48500.0,48500.0,172245
2021-06-23,48650.0,48800.0,48400.0,48400.0,220521
2021-06-24,48800.0,49250.0,48450.0,48450.0,280959
2021-06-25,48950.0,50200.0,48700.0,48950.0,409185
2021-06-28,49150.0,49200.0,48600.0,49000.0,208244
2021-06-29,49700.0,49900.0,48950.0,49050.0,241629
2021-06-30,49300.0,49750.0,49150.0,49600.0,237125
2021-07-01,49750.0,49800.0,48800.0,49100.0,185396
2021-07-02,49100.0,49100.0,48850.0,48900.0,191415
2021-07-05,48900.0,49000.0,48550.0,48750.0,268523
2021-07-06,48900.0,49700.0,48800.0,49100.0,247646
2021-07-07,49300.0,49450.0,48400.0,48650.0,375577
2021-07-08,48700.0,49100.0,47600.0,47900.0,408841
2021-07-09,47400.0,47600.0,46500.0,47000.0,451633
2021-07-12,47050.0,47350.0,46900.0,46900.0,228033
2021-07-13,47050.0,47850.0,47000.0,47400.0,247701
2021-07-14,47100.0,47200.0,46550.0,46600.0,332330
2021-07-15,46650.0,48550.0,46600.0,48400.0,485039
2021-07-16,48000.0,48300.0,47600.0,47600.0,223790
2021-07-19,47250.0,47250.0,46700.0,46900.0,195810
2021-07-20,46200.0,47250.0,46200.0,46650.0,239767
2021-07-21,47200.0,47200.0,46500.0,47050.0,249974
2021-07-22,47650.0,49300.0,47400.0,48700.0,935314
2021-07-23,48750.0,49200.0,48000.0,48200.0,248091
2021-07-26,48500.0,48500.0,47250.0,47450.0,214620
2021-07-27,47650.0,48300.0,47450.0,47800.0,171156
2021-07-28,47100.0,47800.0,46600.0,46850.0,384595
2021-07-29,47000.0,47100.0,46550.0,46800.0,171206
2021-07-30,46650.0,46750.0,46150.0,46350.0,242701
2021-08-02,46300.0,46950.0,46300.0,46550.0,153068
2021-08-03,46700.0,48450.0,46600.0,48400.0,630772
2021-08-04,48900.0,49250.0,47850.0,48500.0,375264
2021-08-05,48950.0,49400.0,48500.0,48750.0,386449
2021-08-06,48700.0,49950.0,48350.0,48800.0,602815
2021-08-09,49100.0,50800.0,48500.0,50500.0,1138942
2021-08-10,51200.0,51300.0,49050.0,49350.0,737808
2021-08-11,48650.0,49150.0,47250.0,47400.0,669583
2021-08-12,46600.0,46750.0,44850.0,45000.0,1345114
2021-08-13,44650.0,44700.0,42850.0,43600.0,730990
2021-08-17,43950.0,44700.0,43050.0,43100.0,529912
2021-08-18,42950.0,43850.0,42100.0,43600.0,402107
2021-08-19,42850.0,43300.0,41500.0,41500.0,544365
2021-08-20,41900.0,42200.0,40200.0,40350.0,515343
2021-08-23,40850.0,41200.0,40400.0,41050.0,326628
2021-08-24,41950.0,44850.0,41600.0,44800.0,690600
2021-08-25,47400.0,48650.0,44600.0,45000.0,2429204
2021-08-26,46050.0,46900.0,45700.0,45900.0,855408
2021-08-27,45350.0,45750.0,44500.0,45150.0,394244
2021-08-30,45750.0,46200.0,45250.0,45300.0,272722
2021-08-31,44950.0,45600.0,44350.0,45300.0,418968
2021-09-01,45500.0,45850.0,45000.0,45300.0,287356
2021-09-02,45700.0,45950.0,44700.0,44800.0,286237
2021-09-03,45300.0,45300.0,44700.0,44750.0,227320
2021-09-06,45200.0,45500.0,44500.0,45250.0,309699
2021-09-07,44850.0,45000.0,43750.0,43950.0,323430
2021-09-08,43750.0,44100.0,42950.0,43900.0,334767
2021-09-09,43500.0,43650.0,42400.0,42600.0,448122
2021-09-10,42450.0,43800.0,42100.0,43550.0,327699
2021-09-13,43400.0,43400.0,42400.0,42500.0,338156
2021-09-14,42600.0,43550.0,42400.0,43300.0,292543
2021-09-15,43300.0,43700.0,42800.0,43400.0,189214
2021-09-16,43700.0,45000.0,43400.0,43950.0,589847
2021-09-17,44100.0,45600.0,43250.0,45400.0,668039
2021-09-23,44800.0,45450.0,44150.0,44200.0,351579
2021-09-24,44450.0,44550.0,43100.0,43300.0,365808
2021-09-27,42850.0,43600.0,42300.0,43100.0,259560
2021-09-28,42800.0,43650.0,42000.0,42050.0,259803
2021-09-29,40500.0,41450.0,39900.0,40450.0,660255
2021-09-30,40300.0,40350.0,39750.0,40050.0,465127
2021-10-01,40050.0,40150.0,39000.0,39050.0,290805
2021-10-05,37850.0,38650.0,37600.0,38400.0,393386
2021-10-06,38800.0,39400.0,37200.0,37250.0,340916
2021-10-07,37900.0,39900.0,37800.0,39550.0,523074
2021-10-08,40000.0,40250.0,38650.0,38650.0,311570
2021-10-12,38250.0,38500.0,37500.0,38100.0,274209
2021-10-13,37800.0,38500.0,37750.0,38300.0,290542
2021-10-14,38400.0,38950.0,38150.0,38750.0,375153
2021-10-15,39800.0,40500.0,39100.0,39350.0,384501
2021-10-18,39850.0,40200.0,39300.0,39900.0,277557
2021-10-19,40300.0,40400.0,39550.0,39650.0,168535
2021-10-20,39700.0,40150.0,39250.0,39300.0,203796
2021-10-21,39300.0,39350.0,38650.0,38750.0,621298
2021-10-22,38250.0,39200.0,38150.0,38800.0,126513
2021-10-25,38600.0,39350.0,38200.0,39250.0,199257
2021-10-26,39700.0,40000.0,39300.0,39900.0,264362
2021-10-27,40000.0,40000.0,39250.0,39400.0,204270
2021-10-28,39550.0,41950.0,38950.0,41300.0,870835
2021-10-29,41950.0,42000.0,40050.0,40450.0,401761
2021-11-01,40700.0,41750.0,40500.0,40700.0,318796
2021-11-02,41000.0,41650.0,40800.0,41300.0,256537
2021-11-03,41500.0,41550.0,40100.0,40100.0,212397
2021-11-04,40600.0,41050.0,40000.0,40200.0,161290
2021-11-05,40750.0,41100.0,39350.0,39550.0,339805
2021-11-08,38950.0,39000.0,36500.0,36950.0,977638
2021-11-09,37050.0,37550.0,35950.0,36100.0,645142
2021-11-10,36100.0,36250.0,34800.0,35000.0,614000
2021-11-11,34950.0,35750.0,34400.0,35750.0,293989
2021-11-12,36100.0,36350.0,35700.0,35850.0,554584
2021-11-15,36750.0,38700.0,36750.0,38050.0,1157628
2021-11-16,38150.0,38650.0,37500.0,38100.0,462792
2021-11-17,38600.0,38600.0,37600.0,38250.0,338091
2021-11-18,38350.0,38400.0,37600.0,37650.0,265508
2021-11-19,38200.0,38650.0,37350.0,38650.0,363203
2021-11-22,39550.0,43700.0,39400.0,43700.0,3039738
2021-11-23,44000.0,44300.0,42600.0,43400.0,1232034
2021-11-24,43100.0,43350.0,40800.0,42200.0,1275986
2021-11-25,42150.0,42700.0,40550.0,40550.0,623058
2021-11-26,40800.0,41450.0,39100.0,39650.0,653934
2021-11-29,38050.0,39900.0,38000.0,38600.0,525986
2021-11-30,39800.0,40350.0,38650.0,39000.0,656667
2021-12-01,39000.0,40200.0,38250.0,39950.0,501626
2021-12-02,39400.0,43200.0,39350.0,42550.0,1862713
2021-12-03,42500.0,43150.0,42000.0,42800.0,586005
2021-12-06,42450.0,43900.0,42150.0,42800.0,731481
