Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,30891.592752613065,17854.748603351956,3.179097791644672,-1709.4972067039107,0.9397808960229471,0.5112359550561798
ARIMA,293803.9546129712,265468.53141252085,47.6435599214918,-265468.53141252085,-4.4471453212588825,0.5112359550561798
Existing RF,31985.404621379137,19665.806479328043,3.5426655263890257,3214.2948853142047,0.9354409121745502,0.46629213483146065
Extended RF,31297.239425269956,18806.629690436566,3.3749615310068504,406.03942187628957,0.938189002532184,0.43258426966292135
Extended ANN,31289.33136516775,18655.91750464626,3.319352145961553,2997.5702929097183,0.9382202348924356,0.4887640449438202
