Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,12.225609546261499,8.65013401482695,3.1428451503489176,0.4228763375231015,0.9545023268786185,0.518918918918919
ARIMA,83.13935359332989,65.65195891677692,21.403554208229387,-60.22480749314831,-1.1040760375130185,0.5567567567567567
Existing RF,13.518657739998853,10.453197913567251,3.7738019411197596,-4.767986605178694,0.9443692020894207,0.5351351351351351
Extended RF,13.649955657954639,10.632738492234965,3.838531761898383,-4.401452413442981,0.943283343036208,0.5405405405405406
Extended ANN,12.367760555747717,8.72196938559568,3.1738297646890583,1.0079301245695724,0.9534381443196642,0.4702702702702703
