Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,386.7120477372906,201.9943820224719,3.3235532541116295,-42.2752808988764,0.9468784836036714,0.5028248587570622
ARIMA,2377.787180145091,1684.7146533789614,27.918738408496978,-1684.7146533789614,-1.0083574953069578,0.559322033898305
Existing RF,1788.789933975831,901.3766853932585,12.305303679502723,-850.5747191011237,-0.13661594335814997,0.519774011299435
Extended RF,1592.9972425697954,758.8310393258427,10.075051838808724,-707.5990168539327,0.09858432249998705,0.4858757062146893
Extended ANN,536.4374190673838,252.23761054906953,3.8287858938040826,-155.25821437192766,0.8977806328944806,0.4745762711864407
