Company,Model,rmse,mae,mape,mbe,r2,direction_accuracy
wonik_ips,Benchmark,3979.167975566975,1871.6666666666667,2.9684877251662916,-258.8888888888889,0.9855324187374281,0.4986072423398329
wonik_ips,Benchmark + 심리지수 결합모델,4035.08147106768,1900.2777484388378,3.037515821725555,-488.7608597086335,0.9851229781568026,0.46518105849582175
wonik_ips,ARIMA,35632.76418156955,23502.284621007137,38.96957651275279,-15404.574424244543,-0.16014003050157566,0.46518105849582175
wonik_ips,ARIMA + 심리지수 결합모델,35587.07934683155,23521.24212954974,39.12954072426964,-15329.578899208405,-0.15716710204283002,0.46518105849582175
wonik_ips,Existing RF,3946.12169785886,1950.4860027794407,3.254868288290977,-136.82263418576255,0.9857717222525582,0.5181058495821727
wonik_ips,Existing RF + 심리지수 결합모델,3945.716978418636,1939.817290989011,3.2149208212035827,-91.01523461030156,0.9857746406447155,0.5097493036211699
wonik_ips,Extended RF,4091.654705026002,2041.37611791627,3.483873170860984,-429.0860733651624,0.9847028918246511,0.4735376044568245
wonik_ips,Extended RF + 심리지수 결합모델,4069.7289660694682,2022.4491395469513,3.4319396558508046,-371.5198199516342,0.9848663962150978,0.47075208913649025
wonik_ips,Existing ANN,6842.744243220335,2571.6470362246037,3.6686443525786485,562.265192584859,0.9572169245126232,0.5097493036211699
wonik_ips,Existing ANN + 심리지수 결합모델,6821.6823933975365,2569.448458609087,3.6889466690691606,643.1083183063224,0.957479890336857,0.44846796657381616
wonik_ips,Extended ANN,4025.1164534456025,1894.8291672766209,3.0149191834405573,-560.1486534708076,0.9851963678652477,0.4735376044568245
wonik_ips,Extended ANN + 심리지수 결합모델,4076.5882918838797,1941.1178234032957,3.128806125737122,-597.175830236305,0.9848153393510325,0.46518105849582175
