mae,rmse,mape,mbe,direction_accuracy,model,data_name
704329.3060290056,732788.0421688862,64.01034474581445,-704329.3060290056,0.48333333333333334,Random Forest,hanwha_aerospace
230466.1802486188,248624.8527990519,20.96980979775805,-228697.65814917127,0.46111111111111114,ANN,hanwha_aerospace
585.5588888888889,654.791653420299,37.681634329202026,573.865,0.5698324022346368,Random Forest,ia
86.05777723524305,148.4608885632104,5.031349936947471,13.816478135850694,0.5139664804469274,ANN,ia
53.58395231308475,56.56658048742115,29.238055471750695,-53.58395231308475,0.5243243243243243,Random Forest,rtx
6.38543701171875,7.962142211137681,3.4739159666753094,5.7854186027280745,0.4594594594594595,ANN,rtx
377757.72928176797,459180.96890007437,53.45343088708117,-377757.72928176797,0.48333333333333334,Random Forest,sk_hynix
75576.14822168509,98649.14907548377,11.975275378147249,-56024.06828383978,0.5333333333333333,ANN,sk_hynix
79.54657534240395,96.93881149947715,26.059023307189072,-79.32775534886186,0.5081081081081081,Random Forest,aerovironment
23.025044677078082,28.70943243449261,8.313750195977278,9.507938590101014,0.5243243243243243,ANN,aerovironment
1.1885986567633127,1.6549239527017179,15.112759266554306,-0.9718473174302809,0.4810810810810811,Random Forest,draganfly
3.2840566814586682,7.4935217593987415,47.02768538254744,3.2840566814586682,0.5243243243243243,ANN,draganfly
28223.57596685083,29192.31297947296,51.35972029881023,-28223.57596685083,0.4722222222222222,Random Forest,snt_dynamics
3993.384474274862,5151.879919343701,7.542628624062889,1623.4107173687846,0.4111111111111111,ANN,snt_dynamics
52.36006727936448,53.02124596768579,28.580855658104376,-52.36006727936448,0.5081081081081081,Random Forest,nvidia
4.654053636776504,5.975962164182461,2.5574919423952647,0.5362418390089472,0.4918918918918919,ANN,nvidia
300614.01933701657,326231.4784375099,54.461427035632134,-300614.01933701657,0.4777777777777778,Random Forest,lig_nex1
83247.8585980663,96572.15355380275,15.06275265988741,-77590.26398480663,0.5611111111111111,ANN,lig_nex1
42890.372928176796,60709.60019521838,27.075479713415284,-42678.085635359115,0.5,Random Forest,samsung_electronics
29783.187025207182,44892.766717420796,20.03981667015604,28031.3510445442,0.5333333333333333,ANN,samsung_electronics
887.4261049723757,1766.6253078977538,12.146281007615828,-841.0299723756907,0.5388888888888889,Random Forest,firstec
414.96975758589434,785.5340576663132,6.643714829549344,-294.2733417321305,0.46111111111111114,ANN,firstec
27277.06388888889,38648.27784660441,28.50934595849467,-27039.069444444445,0.4692737430167598,Random Forest,wonik_ips
7302.835763888889,11335.469210100757,8.957741353506478,3256.8279730902777,0.5810055865921788,ANN,wonik_ips
9.782256969216691,17.872927190113497,31.07689210464034,-9.67309781484386,0.5297297297297298,Random Forest,axt
2.3305826212770198,4.225285904388973,10.805786698545052,-1.5329437089222733,0.4810810810810811,ANN,axt
1.0329870990527572,1.269028338324144,6.236297795039698,0.4371316968753773,0.4918918918918919,Random Forest,maxlinear
0.910172398372363,1.3430348321844072,5.393498436564013,-0.350032732050906,0.4918918918918919,ANN,maxlinear
