Company,Model,rmse,mae,mape,mbe,r2,direction_accuracy
samsung_electronics,Benchmark,8822.113550618129,6987.5,3.6648751870465803,-1331.25,0.5443634952248485,0.4666666666666667
samsung_electronics,Benchmark + 심리지수 결합모델,12878.441494329012,10501.667090880335,5.621685268601298,3062.8470554597443,0.02904334290958921,0.4666666666666667
samsung_electronics,ARIMA,17739.765975413735,14408.398106761235,7.216930524349868,-11866.63406535304,-0.8423366749044583,0.4
samsung_electronics,ARIMA + 심리지수 결합모델,15032.86629665473,12712.802403508686,6.805706284238506,4248.231643393869,-0.32299077117532704,0.4666666666666667
samsung_electronics,Existing RF,9973.48683300489,7842.366639099429,4.219491280242272,4648.65462501263,0.41767255031709505,0.5333333333333333
samsung_electronics,Existing RF + 심리지수 결합모델,12860.32954096885,10500.809239569586,5.6214479169781795,3092.8454955227207,0.03177248610154371,0.4666666666666667
samsung_electronics,Extended RF,10062.949832846258,7979.164463598498,4.296527197460164,5099.348926444794,0.4071786443170804,0.5333333333333333
samsung_electronics,Extended RF + 심리지수 결합모델,12775.124442689415,10327.380541086779,5.538567865936391,3260.843526472454,0.044559814526750396,0.4666666666666667
samsung_electronics,Existing ANN,11070.290788654429,8263.458862900734,4.334527793336237,-975.2462297677994,0.2825505901193196,0.3333333333333333
samsung_electronics,Existing ANN + 심리지수 결합모델,13804.962016136225,11485.085463682772,6.139874423951981,3281.248079909361,-0.11569029950038612,0.4666666666666667
samsung_electronics,Extended ANN,13251.668757910096,11664.200869202614,6.254211506343009,9786.253742873669,-0.028050309651977523,0.5333333333333333
samsung_electronics,Extended ANN + 심리지수 결합모델,14071.58956594716,11808.432678534184,6.314215299042128,3555.0142254477832,-0.15920312608283327,0.4666666666666667
