Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,386.7120477372906,201.9943820224719,3.3235532541116295,-42.2752808988764,0.9468784836036714,0.5819209039548022
ARIMA,2377.7872159747867,1684.7147038355997,27.918739467084457,-1684.7147038355997,-1.0083575558328444,0.5819209039548022
Extended RF,403.296980908543,223.38939669804995,3.702105085940257,-32.414021033848485,0.9422243286381824,0.4915254237288136
Extended ANN,391.22435470453803,203.13901666342542,3.334381365648949,-47.37094469117314,0.945631565903928,0.480225988700565
