Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,5585.991904358219,3223.8888888888887,3.8118157482506563,-520.0,0.9686420158135185,0.4748603351955307
ARIMA,54148.58890641155,44073.61111111111,51.95951135824484,-44011.38888888889,-1.946604311290764,0.46368715083798884
Existing RF,5527.610897975833,3298.256543188167,4.005278101116993,-590.5449709976747,0.9692940554267876,0.4860335195530726
Extended RF,5723.905056502371,3404.444271120063,4.139623484643465,-1290.475359574981,0.9670745002339941,0.45251396648044695
Extended ANN,5818.827247960343,3342.3223700291583,3.9291199473332394,-1626.301628930701,0.9659734074594332,0.4748603351955307
Sentiment Only (LR),5587.250964978211,3224.8986892123094,3.8132611698465517,-540.680701133777,0.968627878287655,0.4748603351955307
Hybrid RF+NSI,5670.751973754771,3375.0013027865257,4.090431097292195,-1024.1742303231595,0.9676831637189521,0.441340782122905
