Company,Model,rmse,mae,mape,mbe,r2,direction_accuracy
firstec,Benchmark,282.9789863957623,137.69662921348313,2.70427979185814,-24.410112359550563,0.9625660904796359,0.5408450704225352
firstec,Benchmark + 심리지수 결합모델,290.775985889511,137.14545395521182,2.6704830077887087,-43.93167892105656,0.9604748172346712,0.571830985915493
firstec,ARIMA,1753.3707303303565,1062.385243180603,19.807610713669423,-940.3693332240491,-0.43715734191898425,0.5661971830985916
firstec,ARIMA + 심리지수 결합모델,1754.5678218460002,1062.3359929221829,19.800354665859178,-940.3203196228043,-0.43912041353241493,0.5661971830985916
firstec,Existing RF,289.2773289300351,146.95715142544222,2.888570946322186,-24.90119970820707,0.9608811922143665,0.5183098591549296
firstec,Existing RF + 심리지수 결합모델,288.0171463375677,147.1264589390061,2.8943930150449435,-21.677893378430255,0.9612212773814783,0.5126760563380282
firstec,Extended RF,297.6972113300172,160.3616722519458,3.266409842746028,15.186835193563102,0.9585708192008057,0.49577464788732395
firstec,Extended RF + 심리지수 결합모델,295.8432507187227,160.8775822354038,3.286598958003678,20.159001373681708,0.9590852271207407,0.49014084507042255
firstec,Existing ANN,313.4259324458533,141.9259382809481,2.722226900733563,-51.11306258885378,0.9540773791055348,0.5352112676056338
firstec,Existing ANN + 심리지수 결합모델,321.4538227573434,143.09180483940276,2.7216288335168874,-62.042734234480534,0.9516947868731179,0.5521126760563381
firstec,Extended ANN,325.0064028640411,148.13328932342904,2.827093676628326,-62.01025915447246,0.9506211868751014,0.5211267605633803
firstec,Extended ANN + 심리지수 결합모델,318.75962295191044,146.4412236928024,2.813705724674879,-51.09604445855637,0.9525011142479538,0.49859154929577465
