Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,0.6088856053401346,0.4380645008497341,5.999566922212994,-0.0014516128006801811,0.8987627104335009,0.5297297297297298
ARIMA,9.030983950689846,8.348954416068866,117.00162462764607,-8.348954416068866,-21.270975294436933,0.5297297297297298
Existing RF,0.6344450376307293,0.4511987084683135,6.19295077023992,0.046963002676068934,0.8900849643972888,0.4702702702702703
Extended RF,0.7352987364729275,0.5570000678615963,7.690072349242941,-0.4149357948910488,0.8523624823049691,0.5297297297297298
Extended ANN,3.0619446835272273,2.6655211214944745,35.270404149389066,-2.620439812436005,-1.560140360584228,0.5351351351351351
