Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,1108.1397454385708,656.6879659211928,2.4492650793379807,-47.784877529286476,0.9960138795111815,0.5085287846481876
ARIMA,23612.914748828538,15953.011228682644,46.300296636595235,-15878.766551700444,-0.8099249068188477,0.5202558635394456
Existing RF,1163.6226435555022,708.9594094789992,2.672208779479572,25.565718393311457,0.9956047287142199,0.4914712153518124
Extended RF,1225.5252762935947,746.8283302044752,2.9063475018203007,-427.98200185627593,0.9951246488206946,0.5085287846481876
Extended ANN,5908.600451861719,3736.173229875148,10.33143013602697,-3539.617350087506,0.8866737273442771,0.511727078891258
Sentiment Only (LR),1108.0994578188154,656.7245212108878,2.4494785957482184,-46.55429985848893,0.9960141693453617,0.4914712153518124
Hybrid RF+NSI,1135.2232689190625,692.4089744145192,2.7105922557860844,-214.24132823106615,0.9958166526433471,0.5106609808102346
