Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,3.8808267028469428,3.0049466368972597,1.6464055694209154,-0.0964516260290657,0.7192711837307987,0.4864864864864865
ARIMA,38.54455767008796,37.41748047824424,20.42224836543849,-37.41748047824424,-26.69265702470352,0.4864864864864865
Existing RF,6.1790265423050785,5.248043009375291,2.859415382121196,-4.483390354859175,0.28833006990013965,0.4702702702702703
Extended RF,7.231842802539833,6.338085334601032,3.458797242075136,-5.912484268699568,0.025153022730009855,0.4918918918918919
Extended ANN,3.886547611639442,3.0046121645685546,1.6472940785550596,0.13028420080650743,0.7184429026278223,0.5135135135135135
