Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,5560.113338340823,3469.27374301676,2.5120459146624325,-803.9106145251396,0.9855882245452797,0.398876404494382
ARIMA,78629.14313941103,63540.78212290503,44.68274776887719,-63540.78212290503,-1.8821546741966473,0.398876404494382
Extended RF,7314.8867285587,5081.358314014345,3.6209391181933044,-4097.129017151635,0.9750560395665708,0.42696629213483145
Extended ANN,5597.375935014292,3511.3330482937104,2.532695898624861,-1056.5030320230144,0.9853944084714031,0.5056179775280899
