Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,386.7120477372906,201.9943820224719,3.3235532541116295,-42.2752808988764,0.9468784836036714,0.5819209039548022
ARIMA,2377.787180145091,1684.7146533789614,27.918738408496978,-1684.7146533789614,-1.0083574953069578,0.5819209039548022
Existing RF,394.21582545353164,215.74163435983922,3.55805888381104,-47.80720508916075,0.9447969379352803,0.5254237288135594
Extended RF,403.296980908543,223.38939669804995,3.702105085940257,-32.414021033848485,0.9422243286381824,0.4915254237288136
Extended ANN,389.40442731377976,203.07682466306042,3.3358450773645574,-44.39955912614137,0.9461362198577458,0.4745762711864407
Sentiment Only (LR),385.93956304548414,202.94703933798712,3.344926710396518,-36.579503066575406,0.9470904996127164,0.4180790960451977
Hybrid RF+NSI,400.728508462629,223.32197088311364,3.7233463464737375,-24.4776253222388,0.9429578956399078,0.4632768361581921
