Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,2.719466086277121,1.45806457150367,6.529012228855283,-0.3444085851792366,0.9754389671500077,0.43783783783783786
ARIMA,22.930656966958455,15.039301001256511,64.32806346380522,-14.990268714325403,-0.7462737533410331,0.4486486486486487
Existing RF,2.818103383348341,1.5103746219161271,6.959185377957268,0.16969955429178293,0.9736249571284726,0.5081081081081081
Extended RF,2.888491313135137,1.7137217002663356,8.813324643385503,-0.8520166392928166,0.9722909610523582,0.43243243243243246
Extended ANN,8.043115909791117,3.78748486727769,11.591302097772587,-3.6889848017276354,0.7851536468267579,0.44324324324324327
Sentiment Only (LR),2.7201692893943283,1.4584975139468073,6.5312447746573525,-0.3483703829811605,0.9754262634593979,0.43783783783783786
Hybrid RF+NSI,2.820897856121735,1.6111759734906017,8.110160203583032,-0.30533462290330676,0.9735726234328453,0.44324324324324327
