Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,1857.2605274076834,1258.3333333333333,2.926569308517566,-140.55555555555554,0.9412728523652504,0.5251396648044693
ARIMA,15433.956070949534,13396.666666666666,30.514204602255667,-13396.666666666666,-3.0555314154463202,0.5251396648044693
Existing RF,1773.8385599121532,1278.4542774907345,3.034031274798518,-83.93221545740228,0.9464300263008163,0.5642458100558659
Extended RF,1923.8359706738563,1345.5246416213652,3.1476227423795557,-622.2084842145329,0.9369871196896572,0.5195530726256983
Extended ANN,1861.1351464639079,1259.4520551462967,2.926161866197521,-237.29587483737203,0.9410275634845122,0.5307262569832403
