Company,Model,rmse,mae,mape,mbe,r2,direction_accuracy
samsung_electronics,Benchmark,4018.8596010556525,2164.985994397759,2.0092666385117846,-432.49299719887955,0.9925624157725071,0.4691011235955056
samsung_electronics,Extended RF,5244.434012759888,3003.370401771164,2.6224042175707507,-1938.7183990678743,0.9873344667635496,0.44662921348314605
samsung_electronics,Direct Hybrid RF,5608.446072026094,3199.2034042016467,2.7488986763592167,-2172.5768863618227,0.9855152392975915,0.45224719101123595
samsung_electronics,Extended ANN,4089.063143577047,2182.017031053201,2.01744648284099,-559.4264664903742,0.9923002989723149,0.4691011235955056
samsung_electronics,Direct Hybrid ANN,4076.3571692770483,2202.040269278011,2.030465484034581,-654.6868546002386,0.9923480752978951,0.4606741573033708
sk_hynix,Benchmark,24249.027818451937,13680.112044817926,2.870720398706636,-2626.890756302521,0.9921004878428106,0.46348314606741575
sk_hynix,Extended RF,27539.285203526273,16176.999952021777,3.319266634731114,-8897.270943318808,0.989811343146337,0.46629213483146065
sk_hynix,Direct Hybrid RF,28246.67605000547,16687.36789202982,3.3889169551920686,-10049.396199676647,0.9892811965652546,0.47752808988764045
sk_hynix,Extended ANN,44064.53231899704,22670.02778661017,3.898330996972918,-16792.56179145738,0.9739150542118725,0.48314606741573035
sk_hynix,Direct Hybrid ANN,39252.0153434703,20345.05512273612,3.6633667106330323,-13021.722512418817,0.9793016594466112,0.4691011235955056
wonik_ips,Benchmark,3979.167975566975,1871.6666666666667,2.9684877251662916,-258.8888888888889,0.9855324187374281,0.4986072423398329
wonik_ips,Extended RF,4091.654705026002,2041.37611791627,3.483873170860984,-429.0860733651624,0.9847028918246511,0.4735376044568245
wonik_ips,Direct Hybrid RF,4094.2282482519595,2031.995813325737,3.4385818001202844,-473.95799606243634,0.9846836428153353,0.479108635097493
wonik_ips,Extended ANN,4616.5991504895665,2377.6194335437485,3.691920499909714,-980.5518634700113,0.9805259751613707,0.48746518105849584
wonik_ips,Direct Hybrid ANN,14659.956642515619,6113.908286293347,6.831510677366075,-5319.16381329298,0.8036292690556446,0.49303621169916434
dongjin_semichem,Benchmark,1440.3510374596572,955.8333333333334,2.6883269160004892,-83.88888888888889,0.9747416190644247,0.5153203342618384
dongjin_semichem,Extended RF,1541.9484459198475,1082.5879954041195,3.162958837945172,-180.86611920475536,0.9710526697113937,0.532033426183844
dongjin_semichem,Direct Hybrid RF,1532.8323237193872,1070.669101998788,3.1076260943950285,-225.24151885498674,0.9713939357755154,0.5376044568245125
dongjin_semichem,Extended ANN,1434.5495894020637,951.9375665816996,2.6763863830493744,-225.49242918690047,0.974944680781874,0.5348189415041783
dongjin_semichem,Direct Hybrid ANN,1459.4937766839696,976.4789462089539,2.7921376381549727,-20.173520230584675,0.9740657732172923,0.5292479108635098
hanwha_aerospace,Benchmark,35767.90108094921,25010.96518632479,2.974289867484464,-3310.1375532763536,0.9869097072576284,0.5142857142857142
hanwha_aerospace,Extended RF,36848.02239702858,25471.03730475177,3.0128704699398305,-8869.550849328232,0.9861071669593007,0.5285714285714286
hanwha_aerospace,Direct Hybrid RF,36966.73444621322,25904.02051331258,3.0701692061976416,-8454.815276825602,0.9860175066066744,0.5171428571428571
hanwha_aerospace,Extended ANN,61915.81350248459,34186.07862403075,3.6712923386278447,-14428.107635995257,0.9607747595748841,0.5228571428571429
hanwha_aerospace,Direct Hybrid ANN,95679.7329144386,71391.60830240375,7.420410324971812,66458.68687450369,0.9063296040499651,0.4857142857142857
lig_nex1,Benchmark,24107.245792912305,13859.66386554622,3.1097929885453297,-1920.1680672268908,0.9777593702346729,0.5
lig_nex1,Extended RF,24396.22999735014,14363.539116191241,3.2156722018694532,-1165.5238968760136,0.9772229577766511,0.5056179775280899
lig_nex1,Direct Hybrid RF,24164.7755089747,14281.538792869816,3.2127553303793306,-2199.143418371665,0.9776530931570413,0.5056179775280899
lig_nex1,Extended ANN,30729.35881238788,18050.263266302958,3.8143857979276006,2490.152197324929,0.9638624350015588,0.5252808988764045
lig_nex1,Direct Hybrid ANN,26861.043137197372,16450.61125054079,3.5673775021755865,3879.261075682333,0.9723880144537114,0.5056179775280899
snt_dynamics,Benchmark,1698.9110039786592,1244.313725490196,2.893693467977909,-77.87114845938375,0.9864269638250991,0.5168539325842697
snt_dynamics,Extended RF,1769.6919974229706,1320.967356344848,3.1293063704013724,-153.91404971791283,0.9852724291064039,0.47752808988764045
snt_dynamics,Direct Hybrid RF,1761.3167074794492,1291.4492448035974,3.0075496194427473,-184.89821707388833,0.985411499404943,0.49157303370786515
snt_dynamics,Extended ANN,1736.9199669798716,1282.5071499661572,2.9466080336866356,-363.5223347366023,0.9858128433757776,0.5140449438202247
snt_dynamics,Direct Hybrid ANN,1710.5419815877233,1258.1494412201794,2.9282147449914975,42.15214949362084,0.9862404819301038,0.45786516853932585
firstec,Benchmark,282.9789863957623,137.69662921348313,2.70427979185814,-24.410112359550563,0.9625660904796359,0.5408450704225352
firstec,Extended RF,297.6972113300172,160.3616722519458,3.266409842746028,15.186835193563102,0.9585708192008057,0.49577464788732395
firstec,Direct Hybrid RF,292.0939962987888,157.2792558972604,3.2170882516241415,19.734401029120047,0.9601156908256584,0.4788732394366197
firstec,Extended ANN,444.6484051419394,186.26821469724848,3.2391554043449178,-100.4724354054151,0.9075748230164878,0.49014084507042255
firstec,Direct Hybrid ANN,384.24190535517323,165.98748073065548,2.987392152200399,-89.18723712560165,0.9309813806540632,0.5408450704225352
