Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,87.39438069909173,45.111111111111114,2.542355738284994,4.444444444444445,0.9246890437568269,0.6703910614525139
ARIMA,561.1478098920923,519.5440313430814,32.86967340769986,473.2978406671378,-2.1048862074022825,0.3687150837988827
Existing RF,207.0591172900819,192.52074772801723,11.509092317719233,183.03444742517536,0.5772536562882774,0.36312849162011174
Extended RF,173.1882055253859,157.54432583966502,9.440397044419138,144.31613722100988,0.7042479468091121,0.3687150837988827
Extended ANN,90.11332494967768,46.498924450741875,2.6103161830021766,-10.446729133526484,0.9199301209846564,0.6145251396648045
