Model,rmse,mae,mape,mbe,r2,direction_accuracy
Benchmark,2019.617475811534,1540.782122905028,2.837316731940569,-12.849162011173185,0.9301704321122374,0.5337078651685393
ARIMA,26332.309184568105,24992.205093210934,45.065415248339306,-24992.205093210934,-10.870773161825792,0.5337078651685393
Existing RF,2145.2971684539857,1687.6575352958248,3.1270772874263777,298.8875621886093,0.9212091050120574,0.43820224719101125
Extended RF,2079.8896674684547,1591.7923932963815,2.92005144096949,-160.17686787195774,0.9259403407646672,0.48314606741573035
Extended ANN,2723.2173099042916,2196.5216064752813,4.10147321794688,1673.6318596415013,0.8730403511597833,0.48314606741573035
