Company,Model,rmse,mae,mape,mbe,r2,direction_accuracy
hanwha_aerospace,Benchmark,35767.90108094921,25010.96518632479,2.974289867484464,-3310.1375532763536,0.9869097072576284,0.5142857142857142
hanwha_aerospace,Benchmark + 심리지수 결합모델,35683.97536642269,25100.140912758798,2.9902776380104372,-1761.2214456483462,0.986971065248909,0.4857142857142857
hanwha_aerospace,ARIMA,596470.2492564267,509175.5847672355,52.484104285521525,-501182.8874593573,-2.640323849600285,0.5142857142857142
hanwha_aerospace,ARIMA + 심리지수 결합모델,595165.3137308622,507938.7555065335,52.36282559208859,-499604.5124428874,-2.6244129418545112,0.5171428571428571
hanwha_aerospace,Existing RF,35514.190823000434,24987.737087403522,2.9743383800110212,-1600.7182864842093,0.9870947537727162,0.56
hanwha_aerospace,Existing RF + 심리지수 결합모델,35507.317243214966,25010.437059560954,2.9778575623162036,-1255.673060010691,0.9870997487706777,0.5628571428571428
hanwha_aerospace,Extended RF,36848.02239702858,25471.03730475177,3.0128704699398305,-8869.550849328232,0.9861071669593007,0.5285714285714286
hanwha_aerospace,Extended RF + 심리지수 결합모델,36755.38821890212,25409.488539772454,3.0071554144250445,-8505.215894369769,0.9861769310019767,0.5257142857142857
hanwha_aerospace,Existing ANN,52604.05760056884,36766.187645262275,4.137835838250494,24061.54811223444,0.9716860189778299,0.4857142857142857
hanwha_aerospace,Existing ANN + 심리지수 결합모델,51010.63597362613,35434.715407693686,4.000138244795935,21544.801610258808,0.9733753490056903,0.4828571428571429
hanwha_aerospace,Extended ANN,187590.51114892185,110610.4575656635,10.362522719499974,-108014.60226000044,0.6399322864677077,0.5057142857142857
hanwha_aerospace,Extended ANN + 심리지수 결합모델,189170.65519255438,112677.1934294026,10.575207538602353,-110307.64899235389,0.6338407723026802,0.5114285714285715
